Pertanyaan,Pilihan 1,Pilihan 2,Pilihan 3,Pilihan 4,Kunci Jawaban
"Perubahan sosial adalah perubahan yang terjadi pada ...","Struktur sosial dan fungsi sosial","Teknologi dan ekonomi","Pendidikan dan politik","Kesehatan dan budaya","Struktur sosial dan fungsi sosial"
"Salah satu faktor yang mempengaruhi perubahan sosial adalah ...","Kemajuan teknologi","Lingkungan fisik","Bencana alam","Semua jawaban benar","Semua jawaban benar"
"Proses perubahan sosial yang terjadi secara lambat disebut ...","Evolusi","Revolusi","Konflik","Inovasi","Evolusi"
"Salah satu contoh perubahan sosial yang disebabkan oleh kontak dengan budaya lain adalah ...","Globalisasi","Tradisi keluarga","Teknologi sederhana","Ritual adat","Globalisasi"
"Perubahan sosial yang terjadi dalam waktu yang singkat dan bersifat mendasar disebut ...","Evolusi","Adaptasi","Revolusi","Invensi","Revolusi"
"Faktor eksternal yang mendorong perubahan sosial adalah ...","Perubahan lingkungan alam","Perkembangan teknologi","Perang","Semua jawaban benar","Semua jawaban benar"
"Salah satu penyebab resistensi terhadap perubahan sosial adalah ...","Sistem pendidikan","Ketidakpastian masa depan","Kemajuan teknologi","Semua jawaban benar","Ketidakpastian masa depan"
"Modernisasi adalah proses perubahan menuju kondisi ...","Tradisional","Demokratis","Canggih dan maju","Sosialis","Canggih dan maju"
"Salah satu dampak positif dari perubahan sosial adalah ...","Degradasi moral","Peningkatan kualitas hidup","Konflik sosial","Pencemaran lingkungan","Peningkatan kualitas hidup"
"Perubahan sosial yang direncanakan dan dilakukan oleh pemerintah disebut ...","Perubahan yang tidak direncanakan","Perubahan alami","Perubahan terencana","Perubahan mendadak","Perubahan terencana"
"Teori yang menjelaskan bahwa perubahan sosial terjadi karena adanya pertentangan kelas adalah teori ...","Teori fungsionalisme","Teori evolusi","Teori konflik","Teori siklus","Teori konflik"
"Salah satu contoh perubahan sosial akibat globalisasi adalah ...","Meningkatnya mobilitas sosial","Kuatnya nilai tradisional","Penurunan tingkat pendidikan","Kembalinya sistem barter","Meningkatnya mobilitas sosial"
"Inovasi adalah bentuk perubahan sosial yang bersumber dari ...","Kebudayaan lama","Penemuan baru","Warisan leluhur","Pendidikan tradisional","Penemuan baru"
"Proses modernisasi sering kali menimbulkan ...","Persatuan budaya","Konflik antarbudaya","Kesejahteraan merata","Kemandirian sosial","Konflik antarbudaya"
"Perubahan nilai dan norma dalam masyarakat merupakan bagian dari perubahan ...","Budaya","Teknologi","Ekonomi","Politik","Budaya"
"Salah satu teori yang menyatakan bahwa perubahan sosial terjadi melalui tahapan-tahapan tertentu adalah ...","Teori fungsionalisme","Teori siklus","Teori evolusi","Teori revolusi","Teori evolusi"
"Perubahan sosial yang terjadi tanpa ada kehendak dari masyarakat disebut ...","Perubahan alami","Perubahan revolusioner","Perubahan terencana","Perubahan sosial yang tidak direncanakan","Perubahan sosial yang tidak direncanakan"
"Globalisasi membawa dampak terhadap identitas budaya lokal dalam bentuk ...","Penguatan budaya lokal","Hibridisasi budaya","Tidak ada perubahan","Kehancuran budaya lokal","Hibridisasi budaya"
"Salah satu faktor penghambat perubahan sosial adalah ...","Pendidikan","Perubahan teknologi","Fanatisme","Interaksi sosial","Fanatisme"
"Salah satu bentuk perubahan sosial yang tidak diinginkan masyarakat adalah ...","Perubahan yang direncanakan","Perubahan regresif","Perubahan evolusioner","Perubahan progresif","Perubahan regresif"
"Salah satu penyebab perubahan sosial adalah ...","Kebutuhan manusia yang selalu berubah","Pelestarian tradisi","Stagnasi budaya","Kepercayaan agama","Kebutuhan manusia yang selalu berubah"
"Revolusi industri merupakan salah satu contoh perubahan sosial dalam bidang ...","Budaya","Teknologi dan ekonomi","Agama","Politik","Teknologi dan ekonomi"
"Proses globalisasi menyebabkan homogenisasi dalam ...","Ekonomi saja","Semua aspek kehidupan","Hanya budaya","Pendidikan saja","Semua aspek kehidupan"
"Perubahan sosial yang terjadi karena pengaruh dari luar, seperti kolonialisme, termasuk dalam perubahan yang bersifat ...","Internal","Eksternal","Revolusioner","Evolusioner","Eksternal"
"Salah satu ciri perubahan sosial adalah ...","Terjadi secara konstan","Tidak menimbulkan efek samping","Selalu memberikan hasil yang positif","Tidak dapat direncanakan","Terjadi secara konstan"
"Salah satu contoh perubahan sosial yang tidak direncanakan adalah ...","Pembangunan infrastruktur","Penemuan teknologi baru","Bencana alam","Reformasi hukum","Bencana alam"
"Salah satu ciri dari masyarakat yang mengalami modernisasi adalah ...","Bergantung pada sistem tradisional","Teknologi yang maju","Tertutup terhadap pengaruh luar","Tidak menerima perubahan","Teknologi yang maju"
"Perubahan yang terjadi karena penemuan baru dalam ilmu pengetahuan disebut ...","Revolusi","Evolusi","Invensi","Adaptasi","Invensi"
"Salah satu contoh dari perubahan sosial progresif adalah ...","Penurunan tingkat kesejahteraan","Reformasi sistem pendidikan","Munculnya konflik horizontal","Kemunduran teknologi","Reformasi sistem pendidikan"
"Globalisasi adalah proses yang melibatkan ...","Interaksi lokal","Pertukaran ide, teknologi, dan budaya antarnegara","Pembatasan interaksi budaya","Penghancuran kebudayaan tradisional","Pertukaran ide, teknologi, dan budaya antarnegara"
